,First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
0,Stacey,Weaver,174.21,UK,Pistachio,1,0,0,5598
1,Glenda,Long,165.66,Norway,Strawberry,1,0,0,14934
2,Tonya,Skinner,154.38,UK,Vanilla,0,3,1,10256
3,Jake,Underwood,153.48,Australia,Stracciatella,1,3,0,4254
4,Shawn,Ruiz,181.71,Australia,Pistachio,1,3,1,11481
5,Theodore,Haley,184.3,Australia,Mint,1,2,0,11752
6,Cassie,Church,170.02,UK,Stracciatella,1,3,1,7419
7,Garrett,Cherry,177.12,Finland,Pistachio,1,2,0,11652
8,Anna,Cervantes,180.6,Australia,Strawberry,1,6,0,5947
9,Kelly,Morton,168.79,Norway,Strawberry,0,0,0,7329
10,Donna,Schmidt,180.69,Finland,Strawberry,1,2,0,8032
11,Kimberly,Frye,168.62,Finland,Vanilla,0,2,1,10488
12,Jeremiah,Howell,152.94,Australia,Vanilla,0,0,1,9499
13,Kenneth,Brooks,159.99,Australia,Pistachio,1,2,0,10625
14,Renee,Wall,172.8,Germany,Mint,1,6,1,6366
15,Tracy,Cobb,160.8,UK,Vanilla,1,3,0,9148
16,Vanessa,Garcia,171.06,Australia,Pistachio,1,1,0,9143
17,Kenneth,Howe,184.3,Norway,Stracciatella,1,6,1,7603
18,Janice,Briggs,182.2,Australia,Vanilla,1,2,0,7603
19,Alan,Ortiz,186.17,Finland,Stracciatella,0,3,1,12139
20,Maria,Wallace,184.76,UK,Stracciatella,1,6,1,7571
21,William,Howe,169.32,Germany,Strawberry,0,0,0,8667
22,Renee,Christensen,182.3,Australia,Stracciatella,0,3,0,10609
23,Henry,Long,173.88,UK,Strawberry,1,0,1,9777
24,Leslie,Leblanc,154.66,Finland,Pistachio,1,3,0,8359
25,Zoe,Mccall,168.63,Germany,Stracciatella,1,2,0,8083
26,Lauren,Mayo,195.45,Germany,Strawberry,1,3,1,5853
27,Debbie,Adkins,164.95,Finland,Vanilla,1,6,1,12771
28,Jonathon,Cunningham,161.07,Germany,Stracciatella,1,2,1,7284
29,Heather,Hill,164.46,Finland,Strawberry,0,2,1,4884
30,Andrea,Chambers,187.9,Australia,Strawberry,0,3,0,6244
31,Victoria,Price,169.07,UK,Stracciatella,1,3,1,5947
32,Todd,Phillips,154.58,Norway,Stracciatella,1,2,1,5668
33,Tracy,Perry,156.34,Norway,Strawberry,0,2,0,19062
34,Alejandra,Gross,153.97,Finland,Stracciatella,1,3,1,12164
35,Jeremiah,Berry,173.4,Norway,Stracciatella,1,3,0,7642
36,Aaron,Patton,178.16,Germany,Vanilla,0,6,1,5758
37,Heather,Gibbs,170.63,UK,Strawberry,1,6,0,10565
38,Randall,Lucas,173.56,Australia,Mint,1,2,0,11959
39,Carl,Castillo,176.35,Finland,Strawberry,1,2,0,15768
40,Shawn,Hart,173.71,Norway,Vanilla,1,0,1,7275
41,Jordan,Huber,183.94,UK,Stracciatella,0,0,1,12215
42,Monica,Hoover,170.3,Germany,Pistachio,0,0,1,4071
43,Francisco,Barton,174.81,Australia,Strawberry,1,3,0,3855
44,Sheri,Weber,171.1,UK,Strawberry,1,3,0,5452
45,Janice,Trevino,163.56,Finland,Stracciatella,0,5,0,7024
