,First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
0,Calvin,Luna,198.39,Sweden,Stracciatella,1,4,1,10512.0
1,Marie,Stout,157.85,Brazil,Pistachio,1,0,0,17630.0
2,Cole,Wilson,183.41,Finland,Pistachio,1,4,0,2263.0
3,Jon,Malone,144.11,UK,Stracciatella,0,6,0,17163.0
4,Mason,Lee,201.56,Japan,Stracciatella,0,4,0,16608.0
5,Earl,Durham,166.96,Japan,Chocolate,1,6,0,6080.0
6,Amber,Kirk,181.66,UK,Chocolate,0,5,1,4979.0
7,Kelsey,Adams,183.01,China,Pistachio,0,0,1,2550.0
8,Rebekah,Ball,180.94,France,Chocolate,1,0,0,5308.0
9,William,Dawson,142.28,UK,Chocolate,1,6,1,15631.0
10,Lindsay,Doyle,157.81,China,Vanilla,0,1,1,17130.0
11,Kristy,Ramirez,166.57,Norway,Vanilla,1,3,0,10797.0
12,Brad,Lawson,193.5,Finland,Vanilla,1,6,0,1592.0
13,Gerald,Vazquez,175.15,Brazil,Vanilla,1,3,0,4402.0
14,Catherine,Chapman,180.81,Norway,Stracciatella,0,7,0,11241.0
15,Shannon,Ferguson,188.58,Sweden,Pistachio,0,1,1,18086.0
16,Regina,Gonzalez,178.96,Germany,Strawberry,1,7,0,1073.0
17,Albert,Frazier,201.29,Australia,Mint,1,0,1,10291.0
18,Phyllis,Cole,201.36,Norway,Mint,0,7,1,15129.0
19,Kathy,Wang,178.36,Germany,Vanilla,0,7,0,9234.0
20,Lauren,Barnett,159.41,Canada,Stracciatella,1,0,0,9750.0
21,Meredith,Holland,165.37,Australia,Mint,0,3,1,2682.0
22,Dana,Lamb,151.79,Finland,Vanilla,0,6,0,9920.0
23,Alejandro,Avila,165.63,Sweden,Chocolate,0,5,1,9121.0
24,Rebecca,Mcdaniel,142.13,Norway,Pistachio,0,6,1,15369.0
25,Devin,Robbins,144.93,Finland,Mint,0,3,1,2506.0
26,Philip,Bartlett,193.45,Sweden,Mint,1,3,0,6503.0
27,Kimberly,Campbell,151.77,Australia,Stracciatella,1,5,0,13433.0
28,James,Hubbard,187.46,Sweden,Mint,1,6,1,9967.0
29,Thomas,Guzman,140.48,Japan,Strawberry,0,0,1,16703.0
30,Jeffery,Larson,149.93,China,Vanilla,0,6,1,6570.0
31,Johnny,Orr,153.51,UK,Stracciatella,0,6,0,10180.0
32,Catherine,Doyle,179.84,France,Stracciatella,1,4,0,12904.0
33,Bethany,Mckinney,165.75,Brazil,Strawberry,1,0,0,8632.0
34,Stacey,Oliver,149.23,France,Mint,0,3,0,13579.0
35,Cindy,Tucker,157.39,Finland,Stracciatella,1,1,0,11425.0
36,Douglas,Doyle,156.79,USA,Stracciatella,1,2,0,9680.0
37,Aimee,Copeland,178.56,UK,Pistachio,0,4,0,15727.0
38,Lori,Ellis,143.01,France,Stracciatella,0,1,0,11040.0
39,Aimee,Dyer,160.0,China,Vanilla,1,0,0,3540.0
40,Lawrence,Parks,192.26,France,Mint,0,1,1,13173.0
41,Jorge,Griffith,147.13,Italy,Pistachio,1,7,1,4864.0
42,Lori,Farrell,137.01,Australia,Strawberry,1,0,1,9532.0
43,Amanda,Faulkner,162.39,Finland,Vanilla,1,3,0,5063.0
44,Shelley,Wolf,184.54,China,Mint,0,6,1,15324.0
45,Alejandra,Leonard,163.01,UK,Chocolate,0,7,1,4870.0
46,Stephanie,Huerta,152.64,France,Vanilla,0,0,1,1663.0
47,Jim,Russell,185.99,Denmark,Vanilla,1,5,0,1104.0
48,William,Foley,140.11,Australia,Pistachio,1,0,0,11782.0
49,Jasmine,Monroe,175.78,Finland,Vanilla,0,3,1,14123.0
50,Adam,Anthony,197.93,Norway,Mint,0,6,1,17228.0
51,Sandra,Peterson,186.71,Sweden,Chocolate,1,3,1,4780.0
52,Kiara,Duarte,155.81,Italy,Stracciatella,1,0,1,14533.0
53,Theresa,Vazquez,177.17,Canada,Vanilla,0,7,1,13222.0
54,Raymond,Mcgrath,156.15,USA,Strawberry,0,2,1,9748.0
55,Brianna,Villegas,145.88,UK,Mint,0,3,0,17659.0
56,Rickey,Little,195.27,Brazil,Chocolate,0,1,1,8632.0
57,Erin,Pruitt,160.62,Norway,Chocolate,1,4,0,3045.0
58,Kim,Cordova,176.33,UK,Pistachio,0,4,0,1553.0
59,Randy,Wright,193.45,Canada,Stracciatella,0,5,0,8688.0
60,Rebekah,Frazier,186.19,Finland,Vanilla,0,6,0,5268.0
61,Corey,Melton,167.65,Denmark,Pistachio,1,2,0,15586.0
62,Raymond,Lester,152.94,Germany,Vanilla,1,1,1,6800.0
63,Dustin,Jordan,198.84,Australia,Stracciatella,1,7,1,11676.0
64,Kayla,Mitchell,159.24,China,Strawberry,1,1,0,1884.0
65,Julia,Sexton,184.64,Australia,Pistachio,0,6,1,16344.0
66,Sean,Cantu,160.58,Brazil,Chocolate,1,1,1,6989.0
67,Angela,Sutton,158.91,Norway,Mint,0,1,1,4438.0
68,Jackson,Gonzalez,174.52,Finland,Strawberry,0,3,1,5111.0
69,Lindsay,Bryan,168.78,Sweden,Pistachio,0,3,0,14852.0
70,Monica,Henderson,139.68,China,Chocolate,0,4,1,6462.0
71,Juan,Santana,183.89,Australia,Chocolate,0,6,1,15576.0
72,Joel,Raymond,139.72,Sweden,Stracciatella,0,7,1,6872.0
73,Laurie,Hart,186.04,Germany,Pistachio,0,5,0,7706.0
74,Louis,Chavez,153.61,Australia,Chocolate,1,7,0,12538.0
75,Brad,Cummings,140.44,China,Strawberry,0,3,0,15835.0
76,Jane,Silva,171.28,Finland,Mint,1,1,0,13521.0
77,Teresa,Carrillo,171.93,Germany,Mint,0,0,0,6171.0
78,Emily,Hawkins,137.56,China,Vanilla,1,2,1,10607.0
79,Calvin,Swanson,158.68,Norway,Strawberry,0,7,1,11438.0
80,Sandra,West,158.42,Finland,Stracciatella,0,3,1,10206.0
81,Keith,Ball,161.91,Norway,Strawberry,1,2,0,7095.0
82,Andrew,Rogers,139.94,Italy,Vanilla,0,3,0,11352.0
83,Jennifer,Cline,188.39,Japan,Mint,0,7,0,12235.0
84,Roberto,Houston,155.3,France,Vanilla,1,6,0,15675.0
85,Brenda,Jefferson,172.32,Norway,Mint,1,7,0,8904.0
86,Brandi,Pennington,162.0,Denmark,Mint,0,0,0,11202.0
87,Dylan,Brown,160.54,France,Strawberry,1,5,1,16609.0
88,Michael,Branch,170.17,Canada,Chocolate,0,1,1,15585.0
89,Karla,Graves,172.68,Australia,Chocolate,1,0,0,4674.0
90,Debbie,Medina,192.08,France,Vanilla,0,6,1,11798.0
91,Javier,Fields,156.15,Germany,Vanilla,0,1,0,8394.0
92,Sarah,Neal,180.93,China,Strawberry,1,6,0,7022.0
93,Martin,Smith,187.88,USA,Mint,0,5,0,12161.0
94,Jessica,Turner,175.76,UK,Mint,0,3,1,4263.0
95,Suzanne,Lara,182.36,Canada,Strawberry,0,4,0,16799.0
96,Christy,Guerrero,139.32,China,Strawberry,1,6,1,1294.0
97,Gregory,Jensen,158.91,UK,Mint,0,1,1,16305.0
98,Meredith,Avery,138.96,Canada,Stracciatella,1,4,0,16155.0
99,Brianna,Norton,192.44,Japan,Mint,0,2,1,16557.0
