First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Jose,Murray,164.97,China,Mint,0,7,0,13304.0
Nathan,Norris,184.72,UK,Chocolate,1,1,1,14508.0
Dennis,Ho,198.72,USA,Pistachio,0,6,0,12823.0
Mariah,Schultz,175.43,Australia,Mint,1,2,1,17310.0
Regina,Atkinson,147.03,Norway,Vanilla,1,3,1,7957.0
Javier,Serrano,182.83,France,Pistachio,1,2,1,11390.0
Jimmy,Martin,199.67,China,Chocolate,1,5,1,2447.0
Dwayne,Douglas,198.99,Denmark,Vanilla,1,0,0,10498.0
Jack,Berry,138.72,France,Mint,1,2,0,2077.0
Andrew,Moran,152.15,France,Strawberry,1,3,1,11339.0
Derek,Oliver,156.54,UK,Mint,1,4,1,14927.0
Jose,Phillips,195.29,Denmark,Strawberry,1,2,0,14346.0
Zoe,Rowe,192.9,Finland,Pistachio,0,7,1,5052.0
Shari,Cline,173.56,UK,Strawberry,0,5,1,16789.0
Todd,Jordan,189.11,Canada,Mint,1,6,0,16601.0
Marie,Cooke,175.54,Norway,Pistachio,1,6,1,2360.0
Ronald,Fletcher,154.17,Japan,Vanilla,0,1,0,17217.0
Troy,Campbell,178.28,China,Mint,0,7,1,11848.0
Corey,Chan,156.05,Germany,Vanilla,0,1,1,4264.0
Caitlin,Roach,160.8,Australia,Mint,1,1,0,14843.0
Corey,Avila,197.91,Japan,Mint,1,6,0,16191.0
Shelby,Bennett,183.77,Italy,Mint,1,3,1,10351.0
Brittany,Oconnell,187.08,Denmark,Stracciatella,0,0,1,6640.0
Anthony,Walker,171.82,Brazil,Mint,0,1,0,17947.0
Abigail,Thomas,177.86,Italy,Stracciatella,1,4,1,9657.0
Teresa,Little,187.39,Brazil,Chocolate,1,7,0,15237.0
Amy,Peters,154.56,Italy,Mint,1,7,1,4256.0
Diana,Hunter,187.37,Italy,Pistachio,1,0,0,6852.0
Stephen,Porter,181.8,France,Strawberry,0,2,0,14769.0
Rebecca,Meadows,151.66,UK,Mint,0,6,0,2153.0
Edward,Sims,138.67,UK,Stracciatella,0,0,0,8910.0
Francisco,Krause,198.43,China,Vanilla,1,2,0,10819.0
Evelyn,Powell,177.33,France,Chocolate,1,3,1,17854.0
Lars,Burton,137.17,France,Stracciatella,0,3,1,5033.0
Frederick,Gibson,168.27,Denmark,Chocolate,0,0,0,3309.0
Krystal,Kirk,153.89,Canada,Pistachio,0,0,0,3987.0
Dwayne,Sutton,190.05,USA,Chocolate,0,1,0,3061.0
Nancy,Ford,181.89,Germany,Vanilla,0,2,1,7665.0
Shari,Shepherd,162.89,Finland,Chocolate,1,1,1,16302.0
Angela,Wheeler,158.3,France,Chocolate,1,5,1,7189.0
Frederick,Sutton,197.4,Canada,Vanilla,0,1,0,16786.0
Adrian,Montes,191.66,Germany,Mint,0,6,1,13705.0
Joseph,Snow,196.26,Canada,Strawberry,1,2,0,13904.0
Bailey,Dillon,172.13,Brazil,Chocolate,0,7,0,10927.0
Michelle,Foley,155.86,Canada,Stracciatella,0,3,1,2654.0
Casey,Sanders,163.77,UK,Mint,0,5,0,9554.0
Bernard,Maynard,136.65,Italy,Chocolate,0,2,1,2065.0
Dillon,Gordon,183.31,Germany,Vanilla,0,5,0,17925.0
Jesse,Raymond,157.1,Finland,Mint,0,3,0,12016.0
Frank,Daniels,184.17,Italy,Strawberry,0,4,1,12246.0
Jane,Schwartz,157.17,Norway,Chocolate,1,3,1,8193.0
Laurie,Lara,145.71,China,Pistachio,1,4,0,11136.0
Andre,Barrera,170.17,Japan,Mint,0,4,0,3312.0
Taylor,Harris,169.79,Germany,Mint,0,7,0,9024.0
Anita,Chen,188.3,Germany,Pistachio,0,1,1,4311.0
