First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Marisa,Powell,142.6,Brazil,Strawberry,1,9,0,12430.0
Courtney,Hays,150.48,Finland,Mint,0,6,0,2810.0
Shawn,Sanford,134.33,UK,Mint,0,1,1,17175.0
Robert,Perry,155.89,Finland,Mint,1,1,0,13787.0
Dominique,Schmitt,151.7,Finland,Mint,1,5,0,4748.0
Yvonne,Anthony,160.12,Finland,Vanilla,0,3,0,14696.0
Craig,Ross,169.54,Denmark,Mint,1,0,0,5585.0
Ricky,Barajas,195.74,China,Strawberry,0,4,0,15887.0
Wendy,Gilbert,201.16,Denmark,Stracciatella,0,4,1,11751.0
Amber,Carter,193.66,China,Mint,0,5,1,5180.0
Tricia,Jones,150.13,Brazil,Mint,0,7,1,14198.0
Jason,Aguilar,207.55,China,Pistachio,0,5,1,2223.0
Michael,Cunningham,163.13,USA,Strawberry,1,6,1,18187.0
Randy,Thompson,193.67,Denmark,Vanilla,0,8,1,11887.0
Collin,Riley,166.48,Denmark,Chocolate,1,3,0,3076.0
Andrew,Rose,187.09,USA,Chocolate,0,4,0,7701.0
Tamara,Gonzales,184.55,Italy,Strawberry,0,3,0,8344.0
Derek,Jefferson,142.54,Australia,Mint,1,9,0,18786.0
Tina,Perry,190.08,China,Vanilla,1,9,1,12942.0
Karina,Howard,165.58,UK,Vanilla,1,2,0,17212.0
Curtis,Zhang,194.25,Norway,Mint,1,2,0,10183.0
Joshua,Stout,204.88,China,Mint,0,7,1,4099.0
Shelley,George,167.9,Australia,Vanilla,1,4,1,4129.0
Amanda,Martin,160.71,UK,Chocolate,1,4,1,13140.0
Jimmy,Castro,201.29,UK,Pistachio,0,1,1,9217.0
Wanda,Salazar,159.25,Brazil,Mint,0,5,0,14748.0
Rodney,Escobar,200.13,Sweden,Mint,1,2,0,16173.0
Bridget,George,181.51,Germany,Strawberry,1,5,1,16244.0
Noah,Jennings,163.53,Australia,Pistachio,0,5,1,14979.0
Kayla,Tate,144.76,UK,Pistachio,0,1,1,11412.0
Karla,Johns,173.08,Canada,Pistachio,0,2,1,17812.0
Manuel,Villegas,148.4,Canada,Pistachio,1,1,1,4970.0
Andrea,Moore,181.93,Sweden,Stracciatella,0,0,0,3148.0
Alexandra,Pham,154.77,China,Vanilla,1,3,0,15775.0
Margaret,Ballard,147.85,Denmark,Stracciatella,1,9,1,15432.0
Logan,Oneal,167.49,Finland,Mint,0,6,1,9232.0
Dakota,Khan,185.29,Norway,Pistachio,1,0,0,8219.0
Erica,Anderson,176.5,China,Stracciatella,0,6,1,5447.0
Terrence,Hampton,182.8,Finland,Strawberry,0,6,1,12014.0
Derek,Davenport,190.73,France,Pistachio,0,5,1,2642.0
Patricia,Sawyer,201.67,Denmark,Vanilla,0,4,0,16212.0
Robin,Tucker,191.85,Norway,Chocolate,1,9,1,12839.0
Dawn,Nichols,136.7,UK,Strawberry,1,8,1,10537.0
Anna,Green,190.72,Denmark,Mint,0,4,0,17323.0
Todd,Boyle,157.63,China,Vanilla,0,5,1,1877.0
Casey,Murray,144.9,USA,Mint,1,6,1,3389.0
Dakota,Key,194.69,France,Chocolate,0,8,0,15880.0
Edward,Cooper,138.88,Japan,Vanilla,0,1,0,2119.0
Nathaniel,Walter,192.18,UK,Strawberry,1,2,1,17322.0
Andre,Maddox,200.91,France,Stracciatella,1,0,0,8412.0
Angela,Ferguson,207.5,France,Stracciatella,0,4,1,11599.0
Donald,Wyatt,175.81,USA,Chocolate,1,8,1,16020.0
Terri,Gibbs,155.55,Sweden,Chocolate,1,3,0,11574.0
Jordan,Armstrong,183.03,Germany,Stracciatella,1,5,1,7195.0
Mike,Sherman,166.86,China,Stracciatella,0,7,1,10960.0
Mitchell,Kirby,181.99,Brazil,Mint,0,8,1,13793.0
Alexis,Rios,145.12,Canada,Pistachio,0,6,1,18745.0
Gerald,Cruz,206.36,Australia,Pistachio,1,9,0,8950.0
Toni,Hicks,138.63,Sweden,Chocolate,1,9,1,14728.0
Kayla,Tate,188.37,France,Mint,0,1,1,16013.0
Derrick,Walton,134.94,Japan,Pistachio,0,9,1,9353.0
Dylan,Leon,143.68,Germany,Chocolate,1,9,0,12444.0
Olivia,Clark,163.31,Finland,Mint,1,4,0,13589.0
Jasmine,Jennings,200.91,Norway,Pistachio,1,2,0,3100.0
Nathaniel,Sampson,187.37,Japan,Mint,1,3,1,5068.0
Cathy,Conner,179.29,Australia,Mint,0,1,1,6901.0
Gloria,Shaffer,136.91,Germany,Chocolate,0,3,0,12234.0
Drew,Rowe,202.09,UK,Chocolate,1,2,0,18454.0
Larry,Morse,203.87,Canada,Chocolate,1,1,1,16920.0
Madison,Clark,145.56,France,Pistachio,1,7,0,14943.0
Kristina,Rosales,178.99,Japan,Stracciatella,0,1,0,10732.0
Monica,Pratt,183.05,Norway,Strawberry,1,6,0,17317.0
Kyle,Freeman,135.61,Italy,Vanilla,0,3,1,14085.0
Madison,Lowery,176.49,China,Mint,1,0,1,6083.0
Juan,Robinson,166.12,Japan,Vanilla,1,6,1,3821.0
Makayla,Lloyd,173.97,Finland,Strawberry,1,8,1,12386.0
Bradley,Cox,193.36,UK,Chocolate,1,2,0,9829.0
Amanda,Quinn,184.68,Australia,Mint,0,6,0,3184.0
Cynthia,Harris,201.64,Finland,Vanilla,0,3,0,3588.0
Spencer,Robinson,139.02,USA,Strawberry,0,2,0,11863.0
Monica,Welch,203.87,France,Pistachio,0,3,1,11537.0
Renee,Delgado,192.14,Australia,Strawberry,1,4,1,15506.0
Randy,Herman,176.86,Japan,Chocolate,0,2,0,8408.0
Yolanda,Moody,141.04,Denmark,Mint,1,9,1,8281.0
Troy,Lopez,199.61,Norway,Vanilla,1,4,0,6661.0
Marcus,Rice,191.19,Denmark,Mint,0,4,1,4110.0
Matthew,Francis,187.76,Denmark,Mint,1,8,0,8834.0
Erika,Higgins,135.27,France,Mint,0,9,0,16860.0
