First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Alexander,Reese,171.91,Italy,Vanilla,0,1,1,3140.0
Jasmine,Contreras,137.65,UK,Chocolate,0,3,1,1665.0
Brandi,Howe,162.11,Canada,Mint,0,1,1,13136.0
John,Vaughan,169.17,Sweden,Vanilla,1,5,1,15614.0
Jesse,Coleman,140.54,Germany,Chocolate,1,2,1,1214.0
Abigail,Cannon,148.61,Brazil,Mint,0,1,0,7759.0
Melissa,Saunders,158.71,Italy,Strawberry,1,6,0,17900.0
Laurie,Wallace,193.48,Denmark,Vanilla,1,2,0,10487.0
Andrew,Hooper,163.35,Denmark,Chocolate,0,1,0,6705.0
Mason,Calhoun,167.53,China,Strawberry,0,4,0,16258.0
Christy,Higgins,176.65,Norway,Mint,1,2,1,10007.0
Joe,Weaver,152.51,Denmark,Chocolate,0,2,0,3009.0
Nathan,Perez,159.71,Australia,Mint,0,3,1,6136.0
Lisa,Colon,163.09,France,Mint,0,2,0,18103.0
Amanda,Church,139.9,Brazil,Mint,0,3,1,11173.0
Tyrone,Cameron,172.28,Italy,Pistachio,0,1,0,14043.0
Joshua,Robinson,178.06,Italy,Chocolate,0,0,1,3540.0
Elizabeth,Frey,137.31,Canada,Chocolate,1,5,1,9749.0
George,Ellis,193.72,Brazil,Stracciatella,1,7,1,13904.0
Cheryl,Dorsey,167.89,USA,Vanilla,0,4,1,16762.0
Jacob,Bond,138.79,China,Mint,0,3,1,13646.0
Frank,Ramsey,138.57,Canada,Vanilla,1,7,1,16851.0
Shannon,Lowe,164.62,Finland,Pistachio,0,1,1,15853.0
Frank,Bradley,196.66,Brazil,Mint,0,0,1,8871.0
Joann,Santos,172.95,Canada,Pistachio,1,1,1,8731.0
Carolyn,Beltran,163.18,Sweden,Stracciatella,1,6,0,6739.0
Kathleen,Yates,197.35,China,Stracciatella,1,7,0,13975.0
Ronald,Lynch,195.23,Japan,Pistachio,1,4,1,4208.0
Natasha,Chen,159.09,France,Vanilla,0,3,0,12317.0
