First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Claudia,Mejia,162.85,Finland,Vanilla,0,6,1,5766.0
Paige,Meyer,157.54,Italy,Mint,1,9,0,16545.0
Manuel,Frederick,173.33,Norway,Mint,1,8,1,16669.0
Jeremy,Strong,176.32,Italy,Stracciatella,0,8,1,14196.0
Jake,Hopkins,186.27,Denmark,Strawberry,0,8,0,4113.0
Pam,Adams,167.44,Brazil,Stracciatella,1,7,0,4820.0
Margaret,Clarke,164.6,Australia,Mint,0,1,1,3424.0
Lonnie,Camacho,159.13,Brazil,Stracciatella,0,3,1,9809.0
Anna,Holder,177.44,Denmark,Mint,1,5,0,6099.0
Zachary,Mayo,147.03,USA,Pistachio,1,7,0,10246.0
Kelsey,Floyd,144.73,Italy,Pistachio,0,6,1,14245.0
Joseph,Benton,200.19,Australia,Strawberry,0,4,1,11924.0
Brian,Bruce,137.89,France,Stracciatella,0,9,1,2151.0
Emily,Mayo,190.2,Germany,Mint,0,1,1,7299.0
Allen,Hardin,179.4,Brazil,Vanilla,1,4,1,9796.0
Lori,Meyer,188.31,Denmark,Vanilla,1,6,0,12414.0
Jennifer,Hardy,175.28,France,Strawberry,0,2,0,18393.0
Dawn,Grant,150.68,UK,Vanilla,1,1,0,6978.0
Albert,Costa,165.29,Italy,Chocolate,0,5,0,4837.0
Regina,Dodson,134.62,Finland,Strawberry,0,1,0,2911.0
Shawn,Wheeler,144.29,Brazil,Stracciatella,0,8,1,11674.0
Diana,Mueller,145.8,UK,Vanilla,0,2,0,7139.0
Whitney,Daniel,135.06,Norway,Mint,0,3,0,17447.0
Maria,Kemp,172.53,Japan,Stracciatella,0,5,0,11853.0
Hannah,Benjamin,175.69,Finland,Mint,1,9,0,13775.0
Cassandra,Ross,201.41,Denmark,Vanilla,1,5,0,15221.0
Ann,Villanueva,157.45,Brazil,Vanilla,1,3,1,13517.0
Terri,Pena,197.91,Denmark,Vanilla,1,3,1,11225.0
Haley,Davenport,148.33,Finland,Pistachio,0,6,1,13911.0
Phillip,Haley,181.35,Denmark,Chocolate,1,3,0,17056.0
Martin,Patterson,178.4,France,Mint,0,1,0,12003.0
Ronald,Wheeler,181.06,UK,Stracciatella,0,5,1,2149.0
Jack,Holland,184.68,USA,Stracciatella,1,0,0,10411.0
Ruben,Robles,187.38,Finland,Mint,1,5,0,17792.0
Jeremiah,Esparza,143.92,Japan,Mint,0,7,1,7631.0
Martha,Walter,146.57,France,Vanilla,0,6,1,18982.0
Audrey,Stokes,203.2,France,Pistachio,0,4,0,10117.0
Cameron,Lynch,167.1,Brazil,Strawberry,0,3,1,3652.0
Travis,Morrow,146.09,Denmark,Chocolate,0,0,0,8208.0
Valerie,Rojas,136.39,Norway,Mint,0,7,0,17385.0
Ruth,Hartman,139.33,USA,Vanilla,1,7,0,9990.0
Stephen,Morrison,164.55,UK,Pistachio,0,1,0,13872.0
Shannon,Patton,173.23,Brazil,Stracciatella,0,9,0,11476.0
Richard,Delgado,185.35,UK,Chocolate,1,9,0,18057.0
Miguel,Sherman,176.37,Australia,Stracciatella,1,9,0,2994.0
Shelly,Cobb,195.32,Germany,Stracciatella,0,5,1,11744.0
John,Valencia,192.89,Finland,Pistachio,1,5,0,3977.0
Dean,Campbell,149.43,UK,Mint,0,2,0,1844.0
Jonathon,Key,133.86,Japan,Stracciatella,1,7,1,13821.0
Austin,Mendoza,181.07,Brazil,Mint,0,4,1,6117.0
Glenda,Sherman,162.0,China,Pistachio,1,7,0,17010.0
Kayla,Braun,202.18,UK,Stracciatella,1,5,1,13099.0
Tom,Cardenas,146.32,Canada,Strawberry,1,8,0,6975.0
Selena,Berry,186.99,Australia,Strawberry,1,8,0,1819.0
Kathy,Wood,151.21,China,Mint,0,0,0,4690.0
Barry,Ryan,196.96,Finland,Mint,1,5,0,5423.0
Wanda,Harvey,200.47,USA,Stracciatella,1,8,1,14183.0
Antonio,Cunningham,144.23,Canada,Pistachio,1,4,0,13611.0
Ruben,Sosa,189.73,Brazil,Pistachio,0,9,0,5777.0
Kellie,Bender,161.41,Brazil,Vanilla,1,8,1,17456.0
Larry,Murray,188.85,USA,Strawberry,1,2,1,11582.0
Natasha,Stewart,189.6,Denmark,Vanilla,0,1,1,13864.0
Brian,Stout,162.43,USA,Vanilla,1,0,0,8885.0
Elizabeth,Cooke,159.19,China,Chocolate,1,4,0,12109.0
Sheri,Murray,177.27,Finland,Strawberry,0,9,1,4232.0
Dawn,Faulkner,184.87,France,Vanilla,0,9,1,9097.0
Gary,Hines,161.27,Italy,Chocolate,0,1,0,16626.0
Kristopher,Lambert,135.53,Canada,Mint,1,7,0,15097.0
Briana,Pacheco,171.86,France,Stracciatella,0,3,0,1988.0
Jonathan,Pearson,143.52,Brazil,Pistachio,1,9,0,11846.0
Mitchell,Johns,200.2,Sweden,Vanilla,0,9,1,1171.0
Alexander,White,195.33,Brazil,Pistachio,0,4,1,8712.0
Sandra,Mckenzie,146.31,Denmark,Pistachio,1,6,0,8250.0
Rodney,Faulkner,206.13,Germany,Pistachio,0,1,1,12047.0
Lynn,Park,202.62,Australia,Strawberry,0,5,1,2829.0
Lindsey,Green,159.98,Norway,Mint,0,3,0,12627.0
Diane,Bryan,206.31,Australia,Strawberry,0,4,0,9767.0
Monica,Herring,176.78,Italy,Mint,0,0,0,2372.0
Jane,Davidson,173.43,Denmark,Stracciatella,1,1,1,9076.0
Shelia,Church,204.43,France,Stracciatella,0,1,1,16050.0
Doris,Hartman,151.54,Germany,Vanilla,1,5,1,18148.0
Louis,Stein,167.96,Sweden,Chocolate,1,8,0,18011.0
Doris,Richards,142.05,Germany,Vanilla,1,5,1,8323.0
Frederick,King,142.07,Brazil,Pistachio,1,5,0,6539.0
Stacey,Sims,182.95,China,Stracciatella,0,3,1,12571.0
Angela,Duke,159.23,Italy,Strawberry,1,3,1,7894.0
Tammy,Keller,197.6,Finland,Strawberry,1,5,0,10702.0
Brenda,Leonard,184.44,Canada,Chocolate,0,6,1,2399.0
Anna,Dudley,175.27,China,Vanilla,0,3,1,7954.0
Luke,Costa,150.86,Norway,Chocolate,0,7,0,7845.0
Kathy,Lozano,185.35,Finland,Strawberry,0,9,0,10837.0
Brittney,Delgado,197.13,Denmark,Chocolate,0,5,0,13802.0
Christopher,Orr,154.54,Brazil,Stracciatella,0,3,1,16139.0
Larry,Costa,188.55,Norway,Strawberry,0,5,0,10248.0
Erica,Harmon,153.38,Norway,Strawberry,0,2,1,5321.0
April,Hernandez,147.33,USA,Chocolate,0,4,0,5410.0
Lindsay,Baldwin,150.0,Australia,Vanilla,0,8,0,3583.0
Joseph,Meyer,155.92,Germany,Mint,1,5,1,10160.0
Sandra,Hall,189.66,Brazil,Strawberry,1,9,0,2962.0
Dana,Shea,150.69,Brazil,Stracciatella,1,3,1,17983.0
William,Barker,135.62,Denmark,Pistachio,0,8,0,17210.0
Lorraine,Villegas,186.65,China,Pistachio,0,6,0,9245.0
Isabella,Sosa,145.44,Norway,Stracciatella,0,1,0,15867.0
Louis,Montgomery,193.96,Australia,Chocolate,1,6,0,12101.0
Diana,Dominguez,185.18,Norway,Pistachio,1,3,0,7068.0
Tommy,Fletcher,146.43,Finland,Strawberry,0,1,0,3885.0
Natalie,Brewer,160.13,France,Strawberry,0,3,1,5444.0
Kara,Larson,179.24,China,Stracciatella,0,2,1,14084.0
Kelly,Weaver,150.06,Italy,Vanilla,0,6,1,13638.0
Theodore,Ramirez,146.42,Germany,Stracciatella,0,7,1,13657.0
Diane,Wheeler,193.41,Sweden,Chocolate,0,0,0,9848.0
Katherine,Juarez,136.36,Denmark,Mint,1,6,0,13415.0
Jose,Wagner,141.73,China,Pistachio,1,7,0,4230.0
Jill,Copeland,183.6,Japan,Mint,0,8,1,5856.0
Allen,Cunningham,201.13,France,Stracciatella,1,6,1,15929.0
Randall,Hancock,188.38,Canada,Chocolate,0,3,0,9462.0
Valerie,Warren,183.23,Germany,Chocolate,1,1,1,6116.0
Christy,Mercado,143.96,Finland,Mint,0,2,1,15680.0
Curtis,Barajas,179.1,Germany,Mint,0,8,1,9131.0
Olivia,Norris,136.34,Canada,Pistachio,0,4,1,17821.0
Shawna,Burke,189.8,UK,Strawberry,0,8,1,5753.0
Shawna,Leonard,171.9,Sweden,Pistachio,0,0,0,8444.0
Alexandra,Mann,149.41,Brazil,Strawberry,1,5,0,18703.0
Kyle,Gardner,151.18,Sweden,Stracciatella,0,6,0,4264.0
Justin,Petersen,164.85,Australia,Chocolate,0,4,1,3360.0
Randy,Valencia,194.62,Sweden,Strawberry,1,7,1,7144.0
Bridget,Gibson,163.43,Australia,Mint,0,4,1,9317.0
Olivia,Espinoza,137.44,Brazil,Pistachio,1,2,1,13430.0
Diane,Hogan,204.88,Finland,Chocolate,0,0,0,10301.0
Chris,Walls,197.99,USA,Chocolate,1,7,0,6980.0
Gabriel,Holland,195.14,Brazil,Stracciatella,0,7,0,2289.0
Jared,Bush,199.79,USA,Pistachio,1,2,1,4939.0
Paige,Beck,158.71,Brazil,Strawberry,0,2,1,11089.0
Candice,Marsh,178.32,Finland,Pistachio,0,9,0,18788.0
Frances,Johnston,159.5,Germany,Mint,0,7,1,13327.0
Ashley,Howell,189.07,China,Chocolate,1,9,0,16845.0
Hailey,Espinoza,170.02,Japan,Pistachio,0,7,1,12299.0
Jerry,Sanders,160.49,Denmark,Pistachio,1,1,1,15927.0
Amber,Rios,143.62,Finland,Strawberry,0,0,1,15775.0
Gene,Watkins,135.65,Finland,Strawberry,1,5,0,7939.0
Regina,Bolton,150.46,Norway,Chocolate,1,8,1,5217.0
Kristen,Strong,155.58,Denmark,Stracciatella,0,0,0,1558.0
Sandy,Rodriguez,138.27,Canada,Chocolate,1,2,0,3593.0
Francisco,Pennington,195.48,Italy,Vanilla,1,0,1,11814.0
John,Nelson,200.7,Finland,Mint,0,4,1,10762.0
Brandi,Gordon,137.72,Finland,Stracciatella,1,6,1,9671.0
Morgan,Wagner,145.31,France,Strawberry,0,7,0,10355.0
Jake,Maddox,159.54,Sweden,Chocolate,0,4,0,2743.0
Olivia,Shaffer,143.89,Norway,Vanilla,0,8,0,18896.0
Johnathan,Yates,156.72,UK,Pistachio,0,2,0,15758.0
Deborah,Walsh,199.0,Canada,Strawberry,0,5,1,8045.0
Jay,Frye,158.7,USA,Mint,1,8,1,16893.0
Xavier,Maddox,206.67,Germany,Chocolate,0,0,0,13302.0
Ronald,Mayo,153.44,Sweden,Chocolate,0,7,1,17535.0
Jackie,Carrillo,183.8,Italy,Vanilla,1,1,0,6375.0
Nicholas,Robertson,155.62,Italy,Chocolate,1,7,1,17277.0
Austin,Chambers,178.59,Norway,Stracciatella,1,1,0,14525.0
Tim,Ferguson,161.26,Canada,Chocolate,0,6,1,10845.0
Kim,Ball,138.95,Italy,Pistachio,0,3,1,18781.0
Jeffrey,Hendrix,167.75,Italy,Strawberry,0,6,1,14969.0
Rebecca,Davenport,179.48,Japan,Stracciatella,0,4,0,7091.0
Derrick,Love,143.68,China,Strawberry,1,3,0,1628.0
Claudia,Vega,189.5,Australia,Mint,0,1,1,10244.0
Danny,Pineda,171.75,Finland,Pistachio,0,5,0,7707.0
Chelsey,Bowers,192.57,Denmark,Chocolate,1,4,1,18144.0
Nina,Frank,174.8,Sweden,Stracciatella,0,8,0,17218.0
Stacey,Carr,159.94,Canada,Chocolate,1,5,1,14856.0
Jay,Pearson,136.89,USA,Stracciatella,0,3,1,10157.0
Anne,Lang,171.93,UK,Stracciatella,0,7,1,5187.0
Dean,Hardy,180.02,Germany,Vanilla,1,4,1,1328.0
Jeremiah,Gentry,194.26,Finland,Strawberry,1,2,0,13809.0
Tracy,Morton,189.33,Australia,Chocolate,1,2,1,15582.0
Valerie,Morales,174.64,USA,Chocolate,0,6,1,8666.0
Debbie,Riley,164.85,Norway,Vanilla,0,6,0,6970.0
Nicholas,Morrow,189.77,USA,Mint,1,6,1,18536.0
Trevor,Gomez,188.2,Italy,Strawberry,0,9,1,7401.0
Hannah,Gillespie,179.77,Australia,Vanilla,0,0,1,13889.0
Teresa,Hubbard,164.03,Norway,Mint,1,1,0,15130.0
Mason,Cortez,137.33,USA,Pistachio,0,7,0,16412.0
Denise,Burke,141.28,Canada,Strawberry,1,2,0,11261.0
Shelly,Hays,177.68,Finland,Vanilla,0,4,1,14344.0
Michael,Ponce,162.27,USA,Chocolate,1,1,1,10525.0
Zoe,Cook,146.66,Brazil,Strawberry,0,2,1,1627.0
Janet,Hayes,195.28,USA,Stracciatella,0,6,1,4876.0
Nathan,Paul,163.62,Norway,Vanilla,1,2,1,13843.0
Marisa,Hess,174.37,Brazil,Pistachio,0,3,1,6472.0
Nathan,Cantrell,164.69,Denmark,Strawberry,1,9,1,17873.0
Shelly,Ross,165.28,Brazil,Mint,1,9,0,5169.0
Stacey,Gonzalez,141.07,Finland,Chocolate,0,2,0,7751.0
Edward,Drake,173.17,Finland,Mint,0,2,1,7086.0
Lynn,Stafford,204.47,Denmark,Chocolate,1,5,0,16122.0
Lisa,Lambert,135.28,China,Mint,0,4,0,10298.0
Barry,Gray,173.54,Australia,Stracciatella,0,4,0,3515.0
Sonya,Cortez,163.02,Sweden,Vanilla,0,0,0,13695.0
Barry,Soto,194.9,Canada,Chocolate,0,1,1,4555.0
Andrea,Cuevas,206.24,Canada,Stracciatella,1,5,1,4919.0
Kristi,Powers,199.66,France,Stracciatella,1,7,0,17839.0
Pamela,Pineda,200.75,China,Pistachio,1,1,0,5115.0
Jamie,Crane,185.02,UK,Stracciatella,0,0,0,7467.0
Jeremiah,Townsend,191.82,France,Chocolate,1,9,1,10543.0
Eric,Murphy,162.97,Canada,Pistachio,1,5,1,10173.0
Randy,Lozano,139.64,USA,Mint,1,9,1,11795.0
Nathan,Levy,195.85,Denmark,Strawberry,0,9,1,5952.0
Chelsea,Lang,169.69,China,Strawberry,0,1,0,8081.0
Joel,Erickson,153.42,France,Stracciatella,1,3,0,6051.0
Alexander,Medina,191.4,Sweden,Strawberry,1,7,0,18791.0
Sarah,Herrera,186.36,Italy,Pistachio,0,1,1,17139.0
Andrew,Franco,155.39,Italy,Vanilla,0,5,0,13204.0
Deborah,Sherman,160.81,Norway,Pistachio,0,3,0,18353.0
Jillian,Nguyen,170.49,China,Stracciatella,0,1,0,3261.0
Timothy,Franklin,164.0,Germany,Mint,0,0,1,2062.0
Cathy,Carpenter,136.07,Germany,Chocolate,0,9,0,15510.0
Carl,Maldonado,175.27,Brazil,Strawberry,1,8,1,11170.0
Erika,Frederick,202.68,Japan,Stracciatella,0,0,0,15748.0
Alexandra,Hays,186.49,Finland,Mint,0,7,0,14170.0
Holly,Taylor,163.4,Sweden,Mint,0,1,1,4292.0
Darrell,Barnes,199.44,Canada,Stracciatella,0,7,0,3903.0
Alicia,Espinoza,205.51,USA,Pistachio,0,6,1,14471.0
Paul,Small,171.7,China,Strawberry,1,9,0,12518.0
Raven,Castillo,172.29,Sweden,Strawberry,0,3,0,2615.0
Kelsey,Mahoney,188.26,China,Vanilla,1,2,1,15332.0
Kathy,Martinez,199.13,Brazil,Strawberry,0,8,1,5173.0
Veronica,Anderson,190.59,USA,Mint,0,6,1,12265.0
Jennifer,Aguilar,135.1,Germany,Chocolate,1,8,0,16965.0
Bradley,Wallace,156.42,Japan,Stracciatella,0,8,1,12977.0
Tony,Gonzalez,185.42,Germany,Stracciatella,0,4,1,8724.0
Brandi,Gordon,158.84,Italy,Mint,0,6,1,13387.0
Bonnie,Farrell,150.8,France,Stracciatella,0,7,0,11542.0
Gloria,Cervantes,185.01,China,Mint,1,2,1,3520.0
Sharon,Holland,189.7,Germany,Mint,0,7,1,2777.0
Cynthia,Kramer,135.35,Italy,Strawberry,0,2,0,18475.0
Kim,Boone,183.07,Australia,Chocolate,1,7,0,9093.0
Terrence,Gordon,205.02,Norway,Pistachio,0,4,0,16458.0
Emily,King,160.87,Finland,Chocolate,0,6,1,4912.0
Luis,Holland,197.19,China,Stracciatella,1,3,0,12599.0
Lucas,Alvarez,201.17,Germany,Pistachio,1,0,1,1805.0
Kevin,Silva,171.11,Canada,Stracciatella,0,6,0,1106.0
Angelica,Green,178.38,Brazil,Chocolate,0,3,1,11065.0
Linda,Watkins,193.19,Brazil,Pistachio,1,6,0,9846.0
Renee,Cantu,168.57,Canada,Strawberry,1,9,1,7314.0
Jeffrey,Tran,192.09,Norway,Mint,0,1,0,3644.0
Ronald,Vega,137.24,Norway,Pistachio,0,4,0,10691.0
Nicole,Reyes,139.93,UK,Vanilla,0,0,0,11154.0
Brent,Arias,163.27,Denmark,Stracciatella,0,5,0,1173.0
Wesley,Espinoza,203.79,Brazil,Pistachio,1,3,1,15324.0
Frances,Myers,187.91,UK,Stracciatella,0,5,1,4897.0
Bryan,Maxwell,139.69,Norway,Strawberry,1,1,0,1619.0
Ryan,Keith,159.74,USA,Chocolate,0,5,0,16148.0
Jane,Booth,192.11,Finland,Mint,0,0,1,16553.0
Lonnie,Rich,194.87,Canada,Pistachio,1,0,1,6003.0
Ricky,Bolton,159.44,USA,Chocolate,0,3,1,2278.0
Gerald,Cooper,139.23,Japan,Pistachio,0,7,0,9641.0
Dustin,Moon,166.21,Denmark,Chocolate,1,5,0,2842.0
Jeremiah,Lawson,162.13,China,Pistachio,0,5,1,14682.0
Todd,Juarez,197.62,Italy,Mint,1,3,1,9653.0
Henry,Silva,187.91,Australia,Stracciatella,1,3,0,15242.0
Gene,Mueller,177.53,Norway,Stracciatella,0,4,1,15710.0
Sherry,Sharp,199.14,Norway,Mint,1,0,1,9501.0
Tracy,Mcdowell,143.16,Finland,Vanilla,1,0,1,16219.0
Travis,Lowe,155.38,USA,Stracciatella,1,4,0,11861.0
Darrell,Meyer,179.69,France,Strawberry,0,0,1,13061.0
Emily,Fleming,180.11,Norway,Mint,0,8,0,1015.0
Katie,Pruitt,140.82,Finland,Vanilla,1,9,1,11858.0
Tiffany,Howell,146.23,Germany,Pistachio,1,4,1,11028.0
Dustin,Bailey,193.84,USA,Chocolate,0,9,1,7602.0
Roger,Little,202.52,USA,Vanilla,1,3,1,7598.0
Andrea,Booth,159.19,Denmark,Vanilla,1,6,1,17444.0
Amber,Harrison,189.19,Australia,Vanilla,1,2,1,13355.0
Cheryl,Jimenez,157.31,Sweden,Stracciatella,1,7,0,4664.0
Dean,Rodriguez,181.09,Sweden,Mint,0,4,1,9438.0
Joshua,Armstrong,142.18,Italy,Strawberry,1,8,1,17566.0
Megan,Frazier,171.84,Italy,Vanilla,0,8,1,10472.0
Drew,Valdez,198.06,Germany,Strawberry,1,8,0,7068.0
Edward,Brooks,183.86,Norway,Pistachio,1,7,0,12319.0
Krista,Walter,154.68,France,Chocolate,0,1,1,15159.0
Dakota,Rosales,144.23,Denmark,Pistachio,0,5,0,1296.0
Shawna,Mathis,169.37,Italy,Stracciatella,1,6,1,2955.0
Albert,Hartman,153.85,Japan,Mint,1,7,0,12682.0
Rose,Hickman,138.5,China,Vanilla,1,2,1,6572.0
Katie,Foster,167.66,USA,Mint,1,6,1,15727.0
Lee,Norton,194.43,UK,Mint,1,4,0,10641.0
Loretta,Edwards,187.06,UK,Vanilla,0,3,1,11924.0
Julie,Ross,187.65,Sweden,Mint,0,2,0,11430.0
Diane,Cain,175.14,UK,Pistachio,1,7,1,8498.0
