First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Andrew,Stevens,169.23,Canada,Chocolate,1,7,1,16988.0
Caleb,Faulkner,184.98,Japan,Mint,0,4,0,10917.0
Casey,Richmond,198.64,USA,Mint,0,3,0,10088.0
Ashley,Ortiz,149.5,Sweden,Strawberry,1,9,0,13071.0
Toni,Boone,191.72,Canada,Stracciatella,1,0,1,1294.0
Terri,Cuevas,167.48,USA,Vanilla,0,8,0,3471.0
Brianna,Wang,192.99,France,Strawberry,1,3,0,8594.0
Colin,Pruitt,192.53,Canada,Stracciatella,0,3,0,14897.0
Doris,Eaton,180.43,Japan,Vanilla,1,6,1,9760.0
Kellie,Aguirre,153.83,Finland,Vanilla,1,7,1,13577.0
Mason,Rich,139.75,Finland,Strawberry,1,8,0,3155.0
Shawna,Houston,153.7,Brazil,Mint,0,3,0,9537.0
Brittney,Ballard,138.27,Norway,Chocolate,1,2,0,14670.0
Sonya,Mitchell,142.05,Denmark,Stracciatella,1,4,0,12005.0
Doris,Diaz,160.73,Canada,Chocolate,1,8,1,4133.0
Jack,Mcdonald,187.12,USA,Chocolate,1,2,0,4501.0
Sara,Schneider,171.75,Finland,Chocolate,1,6,1,15322.0
Christine,Trevino,173.5,Canada,Mint,1,4,1,4742.0
Carolyn,Johnson,169.23,UK,Chocolate,0,9,1,18100.0
Austin,Snow,138.57,USA,Vanilla,0,8,0,2991.0
Dominique,Petersen,169.65,France,Chocolate,1,7,0,2432.0
Pam,Fletcher,191.12,China,Stracciatella,1,5,1,13934.0
Kathy,Jennings,202.33,China,Mint,0,5,1,17740.0
Tommy,Newton,191.19,China,Mint,0,1,0,3081.0
Suzanne,Rowe,156.12,Australia,Mint,1,1,1,6994.0
Ian,Cobb,201.18,Finland,Mint,1,7,0,16769.0
Tony,Dean,197.99,France,Vanilla,1,0,1,6622.0
Ricky,Boyle,183.09,Australia,Stracciatella,0,4,0,7587.0
