First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Jay,Orr,170.55,Finland,Strawberry,0,0,0,2296.0
Vanessa,Carpenter,195.13,Germany,Stracciatella,0,3,1,13436.0
Robert,Wilkins,200.62,Australia,Pistachio,1,1,0,4597.0
Victor,Hart,143.59,UK,Chocolate,1,1,1,10069.0
Bryce,Stephenson,144.99,Canada,Pistachio,1,0,0,4728.0
Kenneth,Watts,161.68,Brazil,Chocolate,0,7,0,13061.0
Caleb,Allen,142.62,Australia,Mint,0,1,0,16773.0
Peter,Steele,190.74,Norway,Stracciatella,0,2,1,11827.0
Jasmine,Berger,188.56,Canada,Vanilla,1,5,0,3739.0
Mary,Beltran,197.55,Brazil,Mint,0,5,1,4447.0
Hayley,Mclean,142.86,Australia,Stracciatella,1,5,1,2270.0
Robert,Gross,189.21,Brazil,Stracciatella,1,7,1,2420.0
Wendy,Jimenez,185.39,France,Stracciatella,0,4,1,17777.0
Brandy,Clarke,142.12,UK,Vanilla,1,3,1,13151.0
Caroline,Collins,181.19,France,Mint,1,4,0,13454.0
Lars,Meyer,196.7,Australia,Chocolate,0,4,1,12342.0
Neil,Hart,182.28,Brazil,Pistachio,1,4,0,8048.0
Christian,Cervantes,143.62,Australia,Vanilla,1,0,1,5681.0
Tommy,Hughes,193.47,Norway,Strawberry,1,4,0,2314.0
Lucas,Branch,183.01,Norway,Vanilla,0,7,0,4739.0
Carolyn,Lamb,168.17,China,Pistachio,0,7,1,11395.0
Erika,Franklin,196.78,Brazil,Stracciatella,0,2,1,4416.0
Gary,Lewis,140.23,Finland,Strawberry,0,5,1,16916.0
Stanley,Soto,177.26,Italy,Chocolate,1,1,1,6478.0
Joy,Woodard,153.91,Denmark,Chocolate,1,4,1,17010.0
Misty,Hayes,140.29,Finland,Strawberry,0,5,0,16286.0
Erica,Griffith,158.57,UK,Pistachio,1,4,1,7333.0
Margaret,Mcconnell,186.09,Brazil,Pistachio,0,5,1,3127.0
Katelyn,Sims,179.42,Norway,Pistachio,0,7,1,10254.0
Nicholas,Peck,149.41,UK,Mint,0,2,1,1780.0
Christy,Miller,174.51,Denmark,Chocolate,1,6,0,16108.0
Sergio,Brewer,164.36,Sweden,Chocolate,1,3,1,16200.0
Lucas,Herring,201.92,USA,Chocolate,1,0,0,5282.0
Nancy,Patrick,179.39,UK,Chocolate,0,1,0,1745.0
Rodney,Howell,174.52,Canada,Strawberry,0,7,1,10627.0
Miguel,Chan,181.11,Australia,Pistachio,0,4,0,3748.0
Donald,Foster,182.72,Germany,Pistachio,1,4,1,8783.0
Christy,Ford,148.85,Finland,Stracciatella,1,6,0,12273.0
Melissa,Garner,181.41,USA,Pistachio,1,6,0,8878.0
David,Rowland,184.71,Norway,Pistachio,1,5,0,17182.0
Jeanette,Grant,196.06,USA,Pistachio,0,2,0,8684.0
Vicki,Mcdaniel,139.7,Norway,Mint,1,0,0,17412.0
James,Robles,153.63,Australia,Stracciatella,0,7,0,14970.0
Patty,Foster,154.58,Japan,Chocolate,0,6,1,12685.0
Brian,Keller,154.88,Italy,Mint,0,0,1,12765.0
Mark,Leach,202.32,Australia,Mint,0,7,1,6873.0
Bailey,Hamilton,184.64,Italy,Pistachio,1,4,0,3057.0
Tony,Walls,196.0,Denmark,Vanilla,1,6,1,2818.0
Janice,Clayton,188.29,Denmark,Stracciatella,0,2,1,8957.0
Seth,Flynn,152.55,Denmark,Chocolate,1,0,1,15832.0
Zoe,Dixon,159.86,Sweden,Strawberry,1,3,1,12256.0
Cory,Patrick,158.68,Finland,Vanilla,1,2,1,13156.0
Bruce,Townsend,154.89,Denmark,Stracciatella,1,4,0,14172.0
Karla,Wu,190.91,UK,Pistachio,0,6,1,13625.0
Melinda,Willis,169.28,Germany,Stracciatella,1,6,0,14396.0
Steve,Henderson,176.81,Italy,Chocolate,1,5,0,14123.0
Tyrone,Glover,164.56,Italy,Stracciatella,1,6,1,10126.0
Walter,Garrett,168.57,Finland,Vanilla,0,7,0,6615.0
Neil,Conley,194.9,Denmark,Vanilla,0,0,0,11302.0
Jerry,Lowe,136.78,Finland,Chocolate,0,2,0,14705.0
Allen,Mccarthy,145.95,Canada,Pistachio,0,4,1,2644.0
Taylor,Chapman,151.56,Germany,Pistachio,1,5,1,9420.0
Gerald,Stephens,181.68,Germany,Mint,1,1,0,16793.0
Louis,Hart,190.45,UK,Pistachio,1,0,0,16957.0
Sonia,Fuller,166.69,Denmark,Strawberry,0,2,0,12587.0
Shane,Cohen,185.69,UK,Chocolate,0,0,1,5176.0
Ruben,Sanders,189.4,Italy,Pistachio,0,2,1,12693.0
Frank,Ortega,180.68,Italy,Strawberry,0,3,0,10240.0
Cynthia,Francis,172.61,Australia,Strawberry,0,3,1,8631.0
Anna,Montes,185.75,Italy,Stracciatella,1,1,0,1409.0
Patty,Pennington,159.51,Canada,Vanilla,0,1,0,15298.0
Crystal,Evans,147.87,Italy,Pistachio,1,3,1,11743.0
Dawn,Rangel,200.86,Denmark,Mint,0,7,1,9591.0
Alicia,Chapman,154.05,Italy,Chocolate,0,6,0,1858.0
Jeanette,Lee,137.8,Denmark,Mint,0,3,0,7861.0
James,Willis,191.63,Germany,Stracciatella,1,4,0,12971.0
Sherry,Cruz,184.42,China,Vanilla,0,3,0,9529.0
Julie,Oneill,170.57,Denmark,Pistachio,0,4,0,8037.0
Cynthia,Juarez,179.88,USA,Stracciatella,1,5,1,6780.0
Lauren,Hill,145.16,China,Strawberry,1,2,1,6828.0
Alexandria,English,162.54,China,Chocolate,1,6,0,4323.0
Veronica,Gibson,183.33,Canada,Pistachio,1,6,1,12161.0
Brandy,Bender,159.96,Norway,Chocolate,1,1,1,8247.0
Janet,Cohen,174.69,Australia,Vanilla,1,3,1,4343.0
Daniel,Juarez,171.08,UK,Pistachio,0,5,1,1285.0
Jill,Lin,150.52,France,Stracciatella,0,5,0,17834.0
Edward,Doyle,159.24,Denmark,Vanilla,1,0,1,14011.0
Jenny,Wheeler,186.36,USA,Pistachio,1,3,0,11837.0
Maria,Gray,149.06,China,Chocolate,1,5,1,12863.0
Randall,Cummings,168.2,Italy,Stracciatella,1,7,0,5692.0
Sheryl,Chaney,153.28,Canada,Stracciatella,1,2,1,14170.0
Evelyn,Huynh,189.14,Sweden,Stracciatella,0,7,0,11126.0
Deanna,Archer,145.2,UK,Strawberry,1,5,0,10859.0
Ann,Torres,143.17,Norway,Strawberry,1,3,1,4730.0
Sherry,Rich,192.7,Canada,Stracciatella,0,4,0,12201.0
Martin,Raymond,174.98,Germany,Chocolate,0,3,0,4614.0
Zoe,Lang,159.83,France,Strawberry,1,3,0,13477.0
Hector,Kennedy,149.71,Finland,Vanilla,1,0,0,9061.0
Steven,Frey,179.67,Italy,Stracciatella,1,3,0,15153.0
Katherine,Murray,158.83,Denmark,Vanilla,0,4,0,12879.0
Holly,Ware,183.49,Australia,Pistachio,1,6,1,12950.0
Priscilla,Weeks,195.12,Australia,Strawberry,0,2,0,2700.0
Thomas,Nichols,168.84,UK,Strawberry,0,6,0,2102.0
Carrie,Vaughan,187.18,UK,Vanilla,0,0,1,5037.0
