First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Francis,Daniels,150.1,Brazil,Pistachio,0,1,0,15518.0
Kara,Leon,158.34,USA,Stracciatella,0,7,1,2369.0
Brenda,Gonzalez,158.68,USA,Chocolate,1,6,1,2332.0
Zachary,Espinoza,182.22,Japan,Mint,0,0,1,2339.0
Wendy,Villegas,188.66,Italy,Mint,0,7,0,7917.0
Joan,Archer,183.11,Australia,Vanilla,0,5,0,2460.0
Heather,Mann,175.53,USA,Vanilla,1,4,1,13946.0
Sheena,Carlson,196.24,China,Pistachio,0,1,0,14341.0
Natasha,Aguilar,179.62,UK,Vanilla,1,0,0,17724.0
Seth,Clarke,181.65,China,Mint,1,3,1,3630.0
Donna,Mendez,156.42,Japan,Strawberry,1,5,1,6873.0
Jodi,Bowen,200.41,Italy,Pistachio,1,6,1,7749.0
Benjamin,Hunt,180.95,Japan,Strawberry,1,6,0,13996.0
Rebekah,Copeland,139.66,France,Stracciatella,1,2,0,7376.0
Joy,Harrington,154.8,France,Pistachio,1,4,0,9013.0
Erin,Branch,201.29,Italy,Stracciatella,0,2,1,14943.0
Cole,Shepherd,174.85,Brazil,Mint,0,5,0,12132.0
Norma,Davila,163.68,China,Mint,0,1,1,13944.0
Robert,Maynard,182.71,Denmark,Mint,0,4,1,5288.0
Shannon,Patterson,178.11,Germany,Chocolate,1,3,1,10078.0
Bernard,Hood,200.9,Finland,Pistachio,0,2,1,13467.0
Henry,Norton,202.17,USA,Vanilla,1,3,0,8729.0
Randall,Moore,145.68,Finland,Vanilla,0,4,1,14664.0
Levi,Parsons,182.17,China,Chocolate,0,4,1,5593.0
Vanessa,Stanton,149.97,USA,Strawberry,1,0,1,8643.0
Brenda,Butler,177.33,Sweden,Pistachio,1,2,0,1282.0
Ruben,Landry,181.47,Norway,Stracciatella,0,2,0,3734.0
Lawrence,Porter,163.18,Norway,Mint,1,3,1,11458.0
Jamie,Shaw,193.3,USA,Strawberry,0,7,0,5928.0
Caitlyn,Clayton,177.11,Norway,Stracciatella,1,2,1,3319.0
Lynn,Curtis,197.72,Brazil,Mint,0,0,1,1117.0
Christy,Kirk,167.44,Italy,Strawberry,1,6,1,12825.0
Jason,Cannon,138.08,Australia,Mint,0,6,1,7766.0
Catherine,Ho,185.05,Denmark,Vanilla,1,7,1,1768.0
Gene,Ferguson,159.78,Germany,Mint,0,7,1,14690.0
Edgar,Meadows,149.33,Italy,Stracciatella,0,6,0,16086.0
