First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Ricky,Snyder,143.11,Brazil,Strawberry,1,4,1,6594.0
Douglas,Sanders,142.84,Japan,Stracciatella,1,7,1,6235.0
Sherry,Zhang,146.24,Norway,Mint,1,6,1,14501.0
Ann,Turner,162.95,Finland,Vanilla,1,6,1,16173.0
Pam,Rich,193.19,Finland,Pistachio,1,2,1,9070.0
Chad,Chambers,158.34,Sweden,Stracciatella,0,1,1,9227.0
Tamara,Olson,174.23,Japan,Pistachio,1,3,0,3358.0
Joel,Alvarez,144.85,France,Chocolate,1,2,1,13846.0
Philip,Strong,143.07,USA,Chocolate,0,8,0,18757.0
Sandy,Maddox,206.7,Finland,Strawberry,0,0,1,16119.0
Meghan,Welch,165.22,Italy,Vanilla,1,0,1,2141.0
Angelica,Tran,138.44,Italy,Chocolate,0,2,1,6557.0
Garrett,Garner,173.14,Germany,Pistachio,1,0,0,5258.0
Joe,Padilla,140.65,Germany,Chocolate,0,6,0,17318.0
Monica,Jennings,141.57,Brazil,Chocolate,0,0,0,13600.0
Valerie,Martin,175.63,Germany,Pistachio,0,7,1,3786.0
Raven,Chavez,154.51,China,Stracciatella,0,8,0,7628.0
Jessica,Bush,181.35,Canada,Chocolate,0,5,0,13636.0
Mckenzie,Zuniga,207.52,Sweden,Chocolate,0,9,1,12837.0
John,Hansen,145.68,Canada,Chocolate,1,4,1,18189.0
Christine,Meyer,162.92,Germany,Vanilla,0,8,0,4909.0
Maurice,Chen,155.32,Canada,Chocolate,1,0,0,3317.0
Paige,Rangel,147.77,Norway,Mint,0,3,1,10624.0
Kristopher,Stafford,145.81,China,Vanilla,1,1,1,14071.0
Katelyn,Petersen,180.97,Australia,Mint,0,3,0,8941.0
Madison,Figueroa,136.61,UK,Vanilla,1,3,0,17348.0
Ashley,Pacheco,179.01,Denmark,Chocolate,0,5,0,16912.0
Glenda,Church,142.59,Australia,Vanilla,0,8,1,18540.0
Kristi,Pruitt,165.83,France,Pistachio,1,7,0,3795.0
Pam,Cook,170.59,UK,Mint,0,9,0,8508.0
April,Villarreal,205.23,France,Mint,1,6,1,5349.0
Thomas,Walter,158.32,Finland,Mint,1,0,1,3413.0
Alexa,Rojas,150.63,Brazil,Stracciatella,0,6,0,12682.0
Sonya,Conway,188.62,USA,Chocolate,1,9,0,18509.0
Kristen,Mays,149.46,Brazil,Strawberry,1,6,1,6295.0
Robert,Newman,158.3,France,Strawberry,1,0,1,11478.0
Ashlee,Ware,167.07,UK,Vanilla,0,7,0,9734.0
Brianna,Salazar,162.37,Sweden,Mint,1,1,1,5291.0
Steven,Pineda,160.21,Australia,Stracciatella,0,9,0,11064.0
Teresa,Drake,172.0,Finland,Vanilla,0,1,1,18730.0
Randy,Martinez,191.24,Norway,Chocolate,0,8,1,6280.0
April,Welch,141.54,Sweden,Pistachio,1,8,1,19042.0
Valerie,Barrera,207.57,UK,Pistachio,0,4,1,5957.0
Craig,Tanner,142.24,Italy,Chocolate,1,3,1,1304.0
Francisco,Murray,176.84,France,Stracciatella,0,1,0,5157.0
Terrence,Frazier,145.8,UK,Strawberry,0,7,1,12606.0
Sarah,Maldonado,137.83,Japan,Chocolate,1,8,1,4954.0
Taylor,Short,203.88,Sweden,Chocolate,0,0,0,16388.0
Stacey,Johnston,201.18,Japan,Pistachio,0,6,0,4563.0
Troy,Molina,162.54,Italy,Pistachio,0,8,0,2485.0
Janet,Gibson,162.68,Germany,Strawberry,0,2,0,5426.0
Kristy,Church,204.39,Canada,Chocolate,0,8,1,5564.0
Gordon,Dudley,155.17,China,Chocolate,1,3,0,16189.0
Lori,Woods,176.85,France,Chocolate,1,1,0,13389.0
Debbie,Kemp,181.57,Germany,Chocolate,0,4,0,7649.0
Olivia,Molina,166.73,China,Stracciatella,0,9,0,9312.0
Jimmy,Noble,145.9,Finland,Vanilla,0,3,1,17717.0
Julie,Shepard,166.89,Finland,Vanilla,0,5,0,12492.0
Claudia,Cantu,190.56,Italy,Pistachio,1,1,0,8313.0
Cheryl,Strong,144.08,Canada,Strawberry,0,0,0,6658.0
Rodney,Bishop,140.32,Germany,Mint,1,9,1,8986.0
Teresa,James,182.09,Italy,Vanilla,1,1,0,17915.0
Shannon,Jordan,206.98,Brazil,Pistachio,1,0,1,5340.0
Keith,Adams,167.58,Denmark,Stracciatella,0,3,0,2200.0
Tony,Mcdaniel,206.15,Sweden,Chocolate,1,8,1,5824.0
Zoe,Lang,190.27,Sweden,Chocolate,0,9,0,6662.0
Pam,Kline,164.65,UK,Strawberry,0,6,0,11680.0
Tiffany,Maddox,155.06,USA,Strawberry,1,5,0,1998.0
Chad,Leblanc,206.84,Italy,Mint,0,6,1,6613.0
Alison,George,169.71,Brazil,Mint,0,3,0,14864.0
Scott,Pham,136.02,Brazil,Stracciatella,1,1,0,8382.0
Jeremiah,Thompson,161.4,Italy,Strawberry,1,9,1,8189.0
Kim,Larsen,161.18,Japan,Strawberry,0,3,0,12688.0
Beth,Brooks,193.95,Germany,Chocolate,0,2,0,15028.0
Anna,Fletcher,163.02,Finland,Stracciatella,0,5,0,14635.0
Kimberly,Black,189.79,Sweden,Chocolate,1,5,0,16190.0
Trevor,Burke,144.9,China,Stracciatella,1,1,1,1324.0
Ian,Hall,196.15,Sweden,Chocolate,1,9,1,16731.0
Pam,Logan,136.7,USA,Pistachio,1,1,1,8511.0
Derrick,Mcdowell,173.11,China,Stracciatella,0,2,1,6188.0
Janet,Clarke,178.91,Finland,Chocolate,0,5,0,2225.0
Patrick,Franco,197.88,Brazil,Pistachio,1,6,0,15935.0
Kathryn,Petersen,151.28,Finland,Mint,0,1,0,2108.0
Theodore,Chambers,172.0,Japan,Pistachio,1,3,0,3758.0
Kara,Little,141.86,Japan,Strawberry,0,6,1,2232.0
Raymond,Bradley,204.35,Germany,Vanilla,0,9,1,17718.0
Evan,Harvey,191.56,Denmark,Vanilla,0,4,1,11641.0
Garrett,Olson,147.23,China,Strawberry,1,1,0,18942.0
Trevor,King,143.52,Japan,Stracciatella,0,7,0,14131.0
Jorge,Copeland,147.18,USA,Stracciatella,1,2,0,10713.0
Curtis,Buckley,202.62,France,Strawberry,1,4,0,16778.0
Miranda,Hurst,202.88,Japan,Strawberry,0,6,1,1604.0
Emily,Foster,145.49,Italy,Pistachio,0,2,0,12720.0
Glenda,Avery,153.65,Germany,Mint,0,1,1,7346.0
Theodore,Morrow,177.93,UK,Pistachio,0,5,1,8999.0
