First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Nathan,Greer,196.67,Norway,Strawberry,0,1,1,7081.0
Bryce,Pierce,159.97,Denmark,Chocolate,1,1,1,16426.0
Steven,Cox,144.07,Germany,Mint,0,3,1,10893.0
Teresa,Hunt,191.24,Japan,Vanilla,1,4,0,14521.0
Eric,Willis,176.61,Norway,Mint,0,2,1,5815.0
Richard,Greene,171.5,France,Stracciatella,0,6,1,18057.0
Tasha,Bailey,169.15,Italy,Vanilla,0,0,0,17933.0
Donald,Ellis,196.92,Finland,Strawberry,1,7,1,10376.0
Karen,Berg,164.35,Italy,Pistachio,0,4,0,13909.0
Ryan,Hansen,161.66,China,Vanilla,1,6,1,16890.0
Glenda,Evans,188.57,Japan,Vanilla,1,2,1,1101.0
Shannon,Murphy,180.95,Japan,Stracciatella,1,0,0,4324.0
Casey,Clayton,147.55,Denmark,Pistachio,1,2,1,16212.0
Nicholas,Rodriguez,188.03,USA,Stracciatella,0,6,0,14483.0
Meredith,Leach,192.26,Brazil,Chocolate,0,2,1,2004.0
Andrew,Hess,163.78,Germany,Pistachio,1,5,1,4021.0
Randy,Bush,193.04,Australia,Vanilla,1,4,1,8968.0
Micheal,Wong,171.84,China,Chocolate,0,2,1,16546.0
Isaac,Hall,146.05,USA,Stracciatella,1,1,0,16929.0
Derek,Rios,196.35,Japan,Stracciatella,0,3,1,4288.0
Mark,Fernandez,196.24,France,Pistachio,1,5,1,3903.0
Carl,King,149.92,China,Stracciatella,1,6,0,16979.0
Gail,Stuart,174.46,China,Vanilla,1,4,1,4728.0
Cody,Meyer,177.45,Sweden,Stracciatella,1,5,0,8425.0
Diana,Clements,199.84,Finland,Strawberry,0,1,1,7694.0
Stephanie,Phillips,173.96,Italy,Pistachio,0,0,1,3113.0
Monique,Bond,161.79,France,Chocolate,1,0,0,3914.0
David,Chang,155.25,Japan,Pistachio,0,3,1,3945.0
Leah,Page,159.29,Canada,Stracciatella,1,0,0,4269.0
Anthony,Simon,199.25,Japan,Chocolate,1,7,1,17066.0
Trevor,Meyers,193.34,Japan,Stracciatella,1,7,1,16618.0
Barbara,Love,201.71,UK,Pistachio,0,3,1,4424.0
Harry,Meyer,194.45,France,Pistachio,1,5,0,8180.0
Christy,Cohen,196.1,Sweden,Strawberry,1,6,0,11724.0
Joshua,Thomas,184.87,Norway,Mint,1,3,1,11054.0
Kevin,Morrison,156.61,Brazil,Stracciatella,1,4,1,8810.0
Sheena,Valdez,147.16,China,Vanilla,1,2,1,8222.0
Charlene,Chaney,167.43,Canada,Strawberry,0,6,1,7265.0
Douglas,Little,175.84,Australia,Vanilla,1,7,0,5386.0
Martin,Cohen,144.73,Australia,Chocolate,0,2,1,17814.0
Crystal,Cline,141.58,China,Stracciatella,1,5,0,13235.0
Luke,Meza,137.12,Denmark,Chocolate,1,7,1,17057.0
Kylie,Mccann,164.94,Brazil,Pistachio,1,2,1,2733.0
Janet,Gillespie,193.96,Norway,Chocolate,0,3,0,13434.0
Gary,Black,145.53,UK,Vanilla,1,2,0,17478.0
Randy,Best,180.15,Italy,Mint,1,5,1,6889.0
Jonathan,Ward,182.41,Norway,Strawberry,0,5,0,3526.0
Renee,Howell,177.25,Germany,Mint,1,1,1,8721.0
Gail,Spencer,166.88,Australia,Vanilla,0,5,0,12768.0
Chase,Downs,197.04,Japan,Chocolate,0,2,1,17094.0
Alexander,Saunders,166.34,UK,Chocolate,1,7,1,16596.0
Caleb,Austin,143.11,Finland,Strawberry,1,6,0,11482.0
Gene,Ruiz,181.67,USA,Pistachio,0,3,0,13247.0
Raymond,Hartman,153.34,Denmark,Strawberry,1,6,0,11836.0
Matthew,Huerta,136.8,France,Chocolate,0,2,1,18036.0
Carl,Glover,198.83,Italy,Strawberry,0,1,0,2927.0
Samantha,Bender,157.41,Germany,Strawberry,0,3,0,13345.0
Tanner,Howard,142.18,Canada,Stracciatella,0,6,0,4349.0
Alexis,Steele,183.37,France,Vanilla,0,6,0,17356.0
Kayla,Warren,151.62,Canada,Stracciatella,1,6,0,8763.0
Ian,Pena,153.74,Japan,Mint,1,3,1,10863.0
Brenda,Potter,137.33,France,Mint,0,4,1,13072.0
Linda,Espinoza,143.17,Sweden,Strawberry,0,4,0,13660.0
Miranda,Ross,175.33,Canada,Vanilla,0,0,0,17984.0
Deanna,Smith,189.84,USA,Stracciatella,0,2,0,3979.0
Shaun,Boyd,164.79,France,Stracciatella,1,0,0,3998.0
Jenny,Jensen,194.37,USA,Pistachio,0,6,1,13118.0
Tonya,Branch,187.49,Canada,Strawberry,0,3,0,13792.0
Dwayne,Kerr,159.68,Germany,Strawberry,1,6,0,11780.0
Lucas,Mcgrath,192.17,Canada,Mint,0,1,1,7181.0
Brittney,Rodriguez,200.06,Australia,Pistachio,1,2,1,15873.0
Autumn,Velasquez,140.27,UK,Strawberry,1,7,1,12110.0
Meredith,Horn,166.36,USA,Chocolate,0,6,1,17931.0
Krystal,Morton,166.59,Germany,Chocolate,1,5,1,2385.0
Francis,Gardner,175.43,France,Chocolate,0,6,0,6561.0
Anna,Vincent,187.41,Australia,Strawberry,1,2,0,3166.0
Anna,Andersson,189.01,Norway,Chocolate,0,3,0,13558.0
Gail,Ortega,195.2,France,Chocolate,1,2,1,2438.0
Bethany,Harrison,166.28,Sweden,Vanilla,0,2,1,17033.0
Zoe,Patterson,165.18,Denmark,Mint,0,3,1,4094.0
Crystal,Cordova,143.65,France,Mint,1,2,1,11000.0
Gregg,Love,199.11,Canada,Stracciatella,1,3,1,16911.0
Kiara,Rose,166.03,UK,Mint,0,2,1,13820.0
Casey,Silva,153.62,Sweden,Chocolate,0,2,0,17656.0
Curtis,Conley,137.88,Australia,Pistachio,1,2,1,3089.0
Bruce,Mendez,138.97,Denmark,Vanilla,0,4,1,6406.0
Elaine,Parks,142.18,Italy,Chocolate,1,7,1,16494.0
Eddie,Shannon,138.67,France,Strawberry,1,6,0,11663.0
Tommy,Graves,142.6,Japan,Vanilla,0,5,0,12162.0
Erica,Avila,171.0,Sweden,Strawberry,0,1,0,2923.0
Jeremy,Sosa,195.07,Sweden,Chocolate,1,5,0,6551.0
Tyrone,Parks,198.03,Denmark,Stracciatella,1,0,0,3627.0
Cory,Collins,197.43,Brazil,Strawberry,1,7,0,2839.0
