First Name,Last Name,Height,Nationality,Favorite Icecream,Like Liquorice,Times Been to Italy,First Time London,Steps per Day
Elizabeth,Kelly,156.1,USA,Stracciatella,0,0,0,5581
Madison,Myers,177.3,Finland,Stracciatella,0,3,0,10276
Ashley,Lee,178.56,UK,Vanilla,0,2,1,5515
Doris,Perez,187.26,Denmark,Mint,1,5,1,5925
Paula,Johnson,177.26,Australia,Stracciatella,0,0,0,2722
Richard,Wilson,170.11,UK,Pistachio,0,1,1,9522
Barbara,Brown,174.23,Germany,Mint,0,4,0,5841
Brittany,Brewer,167.32,USA,Pistachio,0,2,1,11895
Gina,Martin,182.19,Norway,Vanilla,1,0,0,13359
Jose,Wheeler,154.51,Japan,Mint,0,1,1,6826
Theodore,Bradford,165.12,Finland,Pistachio,1,1,0,5965
Michelle,Diaz,174.46,Australia,Pistachio,0,0,0,10031
Emily,Nunez,181.71,Denmark,Chocolate,1,4,0,9784
Tiffany,Velazquez,169.86,Norway,Pistachio,1,0,0,15264
Michael,Joseph,162.18,Germany,Stracciatella,0,2,0,7378
Brian,Buckley,167.89,Finland,Chocolate,1,0,0,11980
Lisa,Conway,166.33,Canada,Mint,1,1,0,3628
William,Fisher,166.79,Sweden,Pistachio,0,0,0,7515
Michael,White,165.65,UK,Strawberry,0,3,1,8294
Jason,Sanchez,165.65,Japan,Mint,0,1,0,11086
Jessica,Bowers,152.84,Brazil,Pistachio,0,0,0,6519
Keith,Swanson,173.0,Norway,Chocolate,1,5,0,8270
Jeremy,Hall,176.75,Italy,Strawberry,0,1,0,7388
Samantha,Rice,184.98,Brazil,Strawberry,0,0,0,10147
Jay,Lee,178.6,Italy,Stracciatella,0,3,1,8096
Haley,Tate,178.09,Australia,Chocolate,0,0,1,11262
Jason,Keller,172.96,Germany,Mint,0,0,0,7434
Jason,Mora,152.37,UK,Stracciatella,0,1,1,9246
Heather,Powell,172.8,Norway,Pistachio,1,3,0,8677
Danielle,Lee,171.12,Italy,Pistachio,0,1,0,7464
Richard,Miller,180.3,Finland,Stracciatella,1,2,0,11860
Joe,Washington,175.67,Japan,Strawberry,1,0,0,8042
Dakota,Rosales,168.7,Norway,Stracciatella,1,4,0,7991
Jeffrey,Marshall,189.58,Japan,Stracciatella,0,1,0,6894
Kristina,Houston,178.48,France,Chocolate,0,3,0,7322
Kristen,Stanley,173.4,France,Pistachio,1,0,0,10769
Joshua,Kennedy,174.55,Norway,Strawberry,1,3,1,4986
Cameron,Cox,170.61,Sweden,Strawberry,1,6,0,6773
Bridget,Leblanc,170.17,Sweden,Chocolate,1,1,0,9067
James,White,148.3,Norway,Stracciatella,0,3,0,14869
Christopher,Monroe,160.85,Germany,Pistachio,1,4,0,8242
Kimberly,Cervantes,164.59,Japan,Stracciatella,0,1,0,15022
Shannon,Sherman,174.51,Sweden,Strawberry,1,1,0,5025
Kathleen,Harris,153.48,Norway,Vanilla,0,1,0,5361
Alan,Moore,164.79,Denmark,Strawberry,0,0,0,13908
Eric,Morrison,163.51,Japan,Mint,0,1,0,9655
Jesse,Simon,171.17,UK,Pistachio,1,1,1,6382
Scott,Leblanc,174.53,Sweden,Stracciatella,1,3,1,10809
Rachel,Cole,163.54,Brazil,Stracciatella,1,0,0,9244
Jason,Bates,164.26,Norway,Pistachio,1,1,1,4972
Peggy,Robinson,163.2,Italy,Mint,0,1,0,11822
Nicholas,Taylor,166.1,Finland,Mint,1,3,0,5149
Desiree,Aguilar,169.49,Denmark,Vanilla,1,3,1,5558
Gary,Bond,183.15,Japan,Vanilla,0,0,0,6170
Samantha,Martinez,159.88,USA,Mint,0,1,0,6192
James,Kennedy,187.51,Germany,Vanilla,0,1,0,12139
Jack,Perez,157.66,Sweden,Vanilla,1,3,0,11541
Claudia,Ritter,179.55,France,Strawberry,0,2,0,8533
Amanda,Walker,165.24,Denmark,Chocolate,1,2,0,5046
James,Vincent,160.89,Italy,Strawberry,1,0,0,8897
Michael,Mendez,183.17,Sweden,Strawberry,1,2,0,9420
Travis,Franklin,170.82,Germany,Vanilla,0,0,0,7349
Paige,Taylor,170.43,Norway,Strawberry,1,3,0,10621
Katherine,Stone,167.23,France,Pistachio,1,1,0,7806
Christopher,Mcdaniel,164.19,USA,Strawberry,0,1,0,5931
John,Hogan,168.23,Finland,Mint,1,2,0,8399
Hunter,Castillo,137.73,Canada,Pistachio,0,0,0,7251
Aaron,Jensen,151.46,Finland,Stracciatella,1,2,0,4609
Michelle,Roberson,173.92,Norway,Pistachio,1,5,0,13949
Lauren,Dunn,181.83,Finland,Chocolate,1,2,1,5598
Jennifer,Lara,183.64,Norway,Stracciatella,1,1,1,13680
Michael,Robles,160.43,Japan,Mint,0,0,0,12106
Joshua,Aguirre,171.93,France,Pistachio,0,3,0,8579
Joshua,Smith,148.07,Denmark,Stracciatella,1,2,1,3446
Carolyn,Williams,166.49,Italy,Vanilla,0,1,0,3586
Amy,Duffy,178.24,Norway,Stracciatella,1,3,1,7337
Barry,Gardner,169.83,USA,Mint,0,1,0,2940
Deanna,Thomas,166.68,Brazil,Mint,1,1,0,5695
Richard,Benson,169.87,Denmark,Stracciatella,1,1,1,9180
Sean,Richardson,182.83,China,Pistachio,0,0,0,7458
